ID	IDtree	Analysis_Dataset	Group	IDNumber	Species	Species_Latin	Shape	Country	Sex	MeanCoverage	MedianCoverage	Plumage	CanorusDiverged	JPlumageColor	PlumageColor	Longitude	Latitude	Source	Isolate	Sampling_Date	SRA_Biosample	SRA_Runs	Aligned_Reads_Million	Sequencing_Output_Gb	Aligned_Gb	Aligned_Gb_Percent
417_CC_GRW_HUN_F	417_CC_grey	A	CG	417	CC	C. canorus	21	HUN	F	7.84	7	grey	NA	#000000	#000000	19.1	47.12	blood	C03403	6-Jul-05	NA	NA	107.482208	16.25967	15.78618731	0.970879932
418_CC_GRW_HUN_F	418_CC_grey	A	CG	418	CC	C. canorus	21	HUN	F	8.76	8	grey	NA	#000000	#000000	19.1	47.12	blood	C03413	6-Jul-05	NA	NA	134.331772	20.25903	18.93569391	0.934679198
419_CC_GRW_HUN_F	419_CC_grey	A	CG	419	CC	C. canorus	21	HUN	F	13.64	13	grey	NA	#000000	#000000	19.1	47.12	blood	C03421	6-Jul-05	NA	NA	195.51252	29.49827	27.98775855	0.948793219
420_CC_GRW_HUN_F	420_CC_grey	A	CG	420	CC	C. canorus	21	HUN	F	7.36	6	grey	NA	#000000	#000000	19.1	47.12	blood	C03424	6-Jul-05	NA	NA	107.185798	16.17185	15.32126086	0.947403102
421_CC_GRW_HUN_F	421_CC_grey	A	CG	421	CC	C. canorus	21	HUN	F	7.48	6	grey	NA	#000000	#000000	19.1	47.12	blood	C03626	7-Jul-05	NA	NA	104.712942	15.81271	15.19327761	0.96082693
422_CC_GRW_HUN_F	422_CC_grey	A	CG	422	CC	C. canorus	21	HUN	F	7.32	6	grey	NA	#000000	#000000	19.1	47.12	blood	C03634	7-Jul-05	NA	NA	109.104676	16.45238	15.67559854	0.952786074
423_CC_GRW_HUN_F	423_CC_grey	A	CG	423	CC	C. canorus	21	HUN	F	11.47	10	grey	NA	#000000	#000000	19.1	47.12	blood	C03648	7-Jul-05	NA	NA	149.062762	22.56582	21.75998264	0.964289471
424_CC_GRW_HUN_F	424_CC_grey	A	CG	424	CC	C. canorus	21	HUN	F	7.28	6	grey	NA	#000000	#000000	19.1	47.12	blood	C03649	7-Jul-05	NA	NA	102.641084	15.51591	15.08718875	0.972368927
426_CC_GRW_HUN_F	426_CC_grey	A	CG	426	CC	C. canorus	21	HUN	F	12.39	11	grey	NA	#000000	#000000	19.1	47.12	blood	LM02015	10-Jul-05	NA	NA	178.361372	27.18221	26.0174071	0.957148337
427_CC_GRW_HUN_F	427_CC_grey	A	CG	427	CC	C. canorus	21	HUN	F	8.27	7	grey	NA	#000000	#000000	19.1	47.12	blood	LM02018	10-Jul-05	NA	NA	115.671546	17.52426	16.77433346	0.957206379
