IDtree	TreeOrder	ID	MaxK	K	Q	Notes	Analysis_Dataset	Group	IDNumber	Species	Species_Latin	Shape	Country	Sex	MeanCoverage	MedianCoverage	Plumage	CanorusDiverged	PlumageColor	Longitude	Latitude	Source	Isolate	Sampling_Date	SRA_Biosample	SRA_Runs	Aligned_Reads_Million	Sequencing_Output_Gb	Aligned_Gb	Aligned_Gb_Percent	Kclust
285_CC_grey	1	285_CC_UNK_RUS_F	10	K1	1e-05		B	CG	285	CC	C. canorus	21	RUS	FALSE	10.86	10	grey	NA	#000000	132.7833	44.75	muscle	1265	23-May-2005	SAMN18559731	SRR14117540	120.903734	18.2745	17.85088811	0.9768195086	K10
285_CC_grey	1	285_CC_UNK_RUS_F	10	K2	1e-05		B	CG	285	CC	C. canorus	21	RUS	FALSE	10.86	10	grey	NA	#000000	132.7833	44.75	muscle	1265	23-May-2005	SAMN18559731	SRR14117540	120.903734	18.2745	17.85088811	0.9768195086	K10
285_CC_grey	1	285_CC_UNK_RUS_F	10	K3	1e-05		B	CG	285	CC	C. canorus	21	RUS	FALSE	10.86	10	grey	NA	#000000	132.7833	44.75	muscle	1265	23-May-2005	SAMN18559731	SRR14117540	120.903734	18.2745	17.85088811	0.9768195086	K10
285_CC_grey	1	285_CC_UNK_RUS_F	10	K4	0.50168		B	CG	285	CC	C. canorus	21	RUS	FALSE	10.86	10	grey	NA	#000000	132.7833	44.75	muscle	1265	23-May-2005	SAMN18559731	SRR14117540	120.903734	18.2745	17.85088811	0.9768195086	K10
285_CC_grey	1	285_CC_UNK_RUS_F	10	K5	1e-05		B	CG	285	CC	C. canorus	21	RUS	FALSE	10.86	10	grey	NA	#000000	132.7833	44.75	muscle	1265	23-May-2005	SAMN18559731	SRR14117540	120.903734	18.2745	17.85088811	0.9768195086	K10
285_CC_grey	1	285_CC_UNK_RUS_F	10	K6	1e-05		B	CG	285	CC	C. canorus	21	RUS	FALSE	10.86	10	grey	NA	#000000	132.7833	44.75	muscle	1265	23-May-2005	SAMN18559731	SRR14117540	120.903734	18.2745	17.85088811	0.9768195086	K10
285_CC_grey	1	285_CC_UNK_RUS_F	10	K7	1e-05		B	CG	285	CC	C. canorus	21	RUS	FALSE	10.86	10	grey	NA	#000000	132.7833	44.75	muscle	1265	23-May-2005	SAMN18559731	SRR14117540	120.903734	18.2745	17.85088811	0.9768195086	K10
285_CC_grey	1	285_CC_UNK_RUS_F	10	K8	1e-05		B	CG	285	CC	C. canorus	21	RUS	FALSE	10.86	10	grey	NA	#000000	132.7833	44.75	muscle	1265	23-May-2005	SAMN18559731	SRR14117540	120.903734	18.2745	17.85088811	0.9768195086	K10
285_CC_grey	1	285_CC_UNK_RUS_F	10	K9	1e-05		B	CG	285	CC	C. canorus	21	RUS	FALSE	10.86	10	grey	NA	#000000	132.7833	44.75	muscle	1265	23-May-2005	SAMN18559731	SRR14117540	120.903734	18.2745	17.85088811	0.9768195086	K10
285_CC_grey	1	285_CC_UNK_RUS_F	10	K10	0.49824		B	CG	285	CC	C. canorus	21	RUS	FALSE	10.86	10	grey	NA	#000000	132.7833	44.75	muscle	1265	23-May-2005	SAMN18559731	SRR14117540	120.903734	18.2745	17.85088811	0.9768195086	K10
