ID	MaxK	K	Q	Notes	Analysis_Dataset	Group	IDNumber	Species	Species_Latin	Shape	Country	Sex	MeanCoverage	MedianCoverage	Plumage	CanorusDiverged	PlumageColor	Longitude	Latitude	Source	Isolate	Sampling_Date	SRA_Biosample	SRA_Runs	Aligned_Reads_Million	Sequencing_Output_Gb	Aligned_Gb	Aligned_Gb_Percent	IDtree	Kclust
437_CC_UNK_MAC_F	2	K1	0.99999		C	CG	437	CC	C. canorus	21	MAC	FALSE	6.83	6	grey	NA	#000000	22.56027778	41.3175	Toepad	SG0833	NA	NA	NA	98.80542	15.0312	8.696835324	0.5785855636	437_CC_UNK_MAC_F	K2
437_CC_UNK_MAC_F	2	K2	1e-05		C	CG	437	CC	C. canorus	21	MAC	FALSE	6.83	6	grey	NA	#000000	22.56027778	41.3175	Toepad	SG0833	NA	NA	NA	98.80542	15.0312	8.696835324	0.5785855636	437_CC_UNK_MAC_F	K2
442_CC_UNK_RUS_F	2	K1	0.99999		C	CG	442	CC	C. canorus	21	RUS	FALSE	7.44	6	grey	NA	#000000	47.56166667	43.59527778	Toepad	SG0838	NA	NA	NA	143.101106	21.91844	9.479302089	0.4324806916	442_CC_UNK_RUS_F	K2
442_CC_UNK_RUS_F	2	K2	1e-05		C	CG	442	CC	C. canorus	21	RUS	FALSE	7.44	6	grey	NA	#000000	47.56166667	43.59527778	Toepad	SG0838	NA	NA	NA	143.101106	21.91844	9.479302089	0.4324806916	442_CC_UNK_RUS_F	K2
435_CC_UNK_UKR_F	2	K1	0.99999		C	CG	435	CC	C. canorus	21	UKR	FALSE	7.81	7	grey	NA	#000000	34.6	44.76666667	Toepad	SG0831	NA	NA	NA	110.880604	16.84305	9.956599492	0.5911399356	435_CC_UNK_UKR_F	K2
435_CC_UNK_UKR_F	2	K2	1e-05		C	CG	435	CC	C. canorus	21	UKR	FALSE	7.81	7	grey	NA	#000000	34.6	44.76666667	Toepad	SG0831	NA	NA	NA	110.880604	16.84305	9.956599492	0.5911399356	435_CC_UNK_UKR_F	K2
432_CC_UNK_IRA_F	2	K1	0.99999		C	CG	432	CC	C. canorus	21	IRA	FALSE	8.05	8	grey	NA	#000000	49.41222222	37.08388889	Toepad	SG0828	NA	NA	NA	149.987052	23.34682	10.35177729	0.443391318	432_CC_UNK_IRA_F	K2
432_CC_UNK_IRA_F	2	K2	1e-05		C	CG	432	CC	C. canorus	21	IRA	FALSE	8.05	8	grey	NA	#000000	49.41222222	37.08388889	Toepad	SG0828	NA	NA	NA	149.987052	23.34682	10.35177729	0.443391318	432_CC_UNK_IRA_F	K2
438_CC_UNK_RUS_F	2	K1	0.99999		C	CG	438	CC	C. canorus	21	RUS	FALSE	8.35	8	grey	NA	#000000	43.61888889	43.49805556	Toepad	SG0834	NA	NA	NA	148.601514	23.52463	10.77120869	0.4578694198	438_CC_UNK_RUS_F	K2
438_CC_UNK_RUS_F	2	K2	1e-05		C	CG	438	CC	C. canorus	21	RUS	FALSE	8.35	8	grey	NA	#000000	43.61888889	43.49805556	Toepad	SG0834	NA	NA	NA	148.601514	23.52463	10.77120869	0.4578694198	438_CC_UNK_RUS_F	K2
