ID	MaxK	K	Q	Kclust	Notes	Analysis_Dataset	Group	IDNumber	Species	Species_Latin	Shape	Country	Sex	MeanCoverage	MedianCoverage	Plumage	CanorusDiverged	PlumageColor	Longitude	Latitude	Source	Isolate	Sampling_Date	SRA_Biosample	SRA_Runs	Aligned_Reads_Million	Sequencing_Output_Gb	Aligned_Gb	Aligned_Gb_Percent	IDtree
437_CC_UNK_MAC_F	10	K1	1e-05	K10		C	CG	437	CC	C. canorus	21	MAC	FALSE	6.83	6	grey	NA	#000000	22.56027778	41.3175	Toepad	SG0833	NA	NA	NA	98.80542	15.0312	8.696835324	0.5785855636	437_CC_UNK_MAC_F
437_CC_UNK_MAC_F	10	K2	1e-05	K10		C	CG	437	CC	C. canorus	21	MAC	FALSE	6.83	6	grey	NA	#000000	22.56027778	41.3175	Toepad	SG0833	NA	NA	NA	98.80542	15.0312	8.696835324	0.5785855636	437_CC_UNK_MAC_F
437_CC_UNK_MAC_F	10	K3	1e-05	K10		C	CG	437	CC	C. canorus	21	MAC	FALSE	6.83	6	grey	NA	#000000	22.56027778	41.3175	Toepad	SG0833	NA	NA	NA	98.80542	15.0312	8.696835324	0.5785855636	437_CC_UNK_MAC_F
437_CC_UNK_MAC_F	10	K4	1e-05	K10		C	CG	437	CC	C. canorus	21	MAC	FALSE	6.83	6	grey	NA	#000000	22.56027778	41.3175	Toepad	SG0833	NA	NA	NA	98.80542	15.0312	8.696835324	0.5785855636	437_CC_UNK_MAC_F
437_CC_UNK_MAC_F	10	K5	1e-05	K10		C	CG	437	CC	C. canorus	21	MAC	FALSE	6.83	6	grey	NA	#000000	22.56027778	41.3175	Toepad	SG0833	NA	NA	NA	98.80542	15.0312	8.696835324	0.5785855636	437_CC_UNK_MAC_F
437_CC_UNK_MAC_F	10	K6	0.9999	K10		C	CG	437	CC	C. canorus	21	MAC	FALSE	6.83	6	grey	NA	#000000	22.56027778	41.3175	Toepad	SG0833	NA	NA	NA	98.80542	15.0312	8.696835324	0.5785855636	437_CC_UNK_MAC_F
437_CC_UNK_MAC_F	10	K7	2e-05	K10		C	CG	437	CC	C. canorus	21	MAC	FALSE	6.83	6	grey	NA	#000000	22.56027778	41.3175	Toepad	SG0833	NA	NA	NA	98.80542	15.0312	8.696835324	0.5785855636	437_CC_UNK_MAC_F
437_CC_UNK_MAC_F	10	K8	1e-05	K10		C	CG	437	CC	C. canorus	21	MAC	FALSE	6.83	6	grey	NA	#000000	22.56027778	41.3175	Toepad	SG0833	NA	NA	NA	98.80542	15.0312	8.696835324	0.5785855636	437_CC_UNK_MAC_F
437_CC_UNK_MAC_F	10	K9	1e-05	K10		C	CG	437	CC	C. canorus	21	MAC	FALSE	6.83	6	grey	NA	#000000	22.56027778	41.3175	Toepad	SG0833	NA	NA	NA	98.80542	15.0312	8.696835324	0.5785855636	437_CC_UNK_MAC_F
437_CC_UNK_MAC_F	10	K10	1e-05	K10		C	CG	437	CC	C. canorus	21	MAC	FALSE	6.83	6	grey	NA	#000000	22.56027778	41.3175	Toepad	SG0833	NA	NA	NA	98.80542	15.0312	8.696835324	0.5785855636	437_CC_UNK_MAC_F
