AvZ	Group	Da	Iteration	Da_lower	Da_upper
Autosome	CG_CH	5.07660413611799e-06	10	4.09806846336643e-06	6.00697780249806e-06
Autosome	CG_OG	0.0010454644283764	10	0.0010344539743136	0.00105739350002528
Autosome	CH_OH	0.00101901233943562	10	0.00100860656670375	0.00103046449883686
Autosome	HG_HH	-1.01061946902658e-05	10	-1.105195954488e-05	-9.02857142857129e-06
Autosome	OG_OH	4.15381503767001e-05	10	4.02714643272486e-05	4.27473201193306e-05
W	CG_CH	0.000760227272727273	10	0.000722698863636364	0.000801792929292929
W	CG_OG	3.68686868686869e-05	10	3.25757575757576e-05	4.10353535353535e-05
W	CH_OH	9.55112219451371e-05	10	8.80299251870324e-05	0.000102621571072319
W	HG_HH	0.000639672544080605	10	0.00060352644836272	0.000675698992443325
W	OG_OH	0.000599370277078086	10	0.000565358942065491	0.000639943324937028
Z	CG_CH	3.20388349514566e-06	10	-7.44336569579286e-07	7.44417475728164e-06
Z	CG_OG	0.00167194174757282	10	0.00163177508090615	0.00170826779935275
Z	CH_OH	0.00161754045307443	10	0.00158048462783172	0.00165624919093851
Z	HG_HH	4.336569579288e-06	10	3.54368932038886e-07	8.41504854368933e-06
Z	OG_OH	3.91585760517801e-06	10	3.88349514563163e-07	7.12135922330112e-06
Autosome	CG_CH	9.83415916675119e-06	0	9.26774699160655e-06	1.04333729396297e-05
Autosome	CG_OG	0.00105311978560955	0	0.00104206376093442	0.00106430733933357
Autosome	CH_OH	0.00104242301663549	0	0.00103129873084897	0.00105365494008191
Autosome	HG_HH	-3.09213187702244e-06	0	-3.77983414239469e-06	-2.40942303802625e-06
Autosome	OG_OH	2.64954239773472e-05	0	2.55978535672754e-05	2.7385409819487e-05
W	CG_CH	0.000660831234256927	0	0.00062367758186398	0.000697984886649874
W	CG_OG	4.5088161209068e-05	0	4.08060453400504e-05	4.8617758186398e-05
W	CH_OH	0.000133790523690773	0	0.000125187032418953	0.000141901496259352
W	HG_HH	0.000689546599496222	0	0.000653510705289673	0.000725453400503778
W	OG_OH	0.000627329974811083	0	0.000594197103274559	0.000665497481108312
Z	CG_CH	7.21682847896446e-06	0	4.91747572815529e-06	9.80663430420711e-06
Z	CG_OG	0.00160171521035599	0	0.00156381877022654	0.00163831796116505
Z	CH_OH	0.00166851132686084	0	0.00163119660194175	0.00170589724919094
Z	HG_HH	-9.70873786407798e-07	0	-3.81877022653722e-06	1.90938511326856e-06
Z	OG_OH	1.90938511326856e-06	0	-8.10679611650493e-07	4.7572815533982e-06
