ID	Plumage	PlumageColor	Species_Latin	Shape	name	value	centered_value	scaled_value	axis	Analysis
437_CC_UNK_MAC_F	grey	#000000	C. canorus	21	PC1	0.0759638	0.2962758	0.956285191861713	1	Autosomes
437_CC_UNK_MAC_F	grey	#000000	C. canorus	21	PC2	0.0542908	0.4150088	0.874789317257225	2	Autosomes
437_CC_UNK_MAC_F	grey	#000000	C. canorus	21	PC3	-9.97039e-05	0.2601722961	0.384539192736431	3	Autosomes
437_CC_UNK_MAC_F	grey	#000000	C. canorus	21	PC4	-0.000586885	0.542239115	0.460648186848942	4	Autosomes
437_CC_UNK_MAC_F	grey	#000000	C. canorus	21	PC5	0.00161448	0.65449748	0.73695293279121	5	Autosomes
437_CC_UNK_MAC_F	grey	#000000	C. canorus	21	PC6	0.000104579	0.568976579	0.509914233197231	6	Autosomes
442_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC1	0.0783529	0.2986649	0.963996456000994	1	Autosomes
442_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC2	0.0540076	0.4147256	0.874192365253683	2	Autosomes
442_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC3	-0.000451289	0.259820711	0.384019543824695	3	Autosomes
442_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC4	-0.00156054	0.54126546	0.459821038091209	4	Autosomes
442_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC5	0.00429017	0.65717317	0.739965713822453	5	Autosomes
442_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC6	0.000419888	0.569291888	0.510196811694992	6	Autosomes
435_CC_UNK_UKR_F	grey	#000000	C. canorus	21	PC1	0.0818006	0.3021126	0.975124548325719	1	Autosomes
435_CC_UNK_UKR_F	grey	#000000	C. canorus	21	PC2	-0.0707904	0.2899276	0.611132986235535	2	Autosomes
435_CC_UNK_UKR_F	grey	#000000	C. canorus	21	PC3	-0.00140273	0.25886927	0.382613297427363	3	Autosomes
435_CC_UNK_UKR_F	grey	#000000	C. canorus	21	PC4	0.00141413	0.54424013	0.462348108352405	4	Autosomes
435_CC_UNK_UKR_F	grey	#000000	C. canorus	21	PC5	0.00519593	0.65807893	0.74098558404167	5	Autosomes
435_CC_UNK_UKR_F	grey	#000000	C. canorus	21	PC6	-0.00057914	0.56829286	0.509301487326004	6	Autosomes
432_CC_UNK_IRA_F	grey	#000000	C. canorus	21	PC1	0.0796673	0.2999793	0.968238926213489	1	Autosomes
432_CC_UNK_IRA_F	grey	#000000	C. canorus	21	PC2	0.0389317	0.3996497	0.84241415653127	2	Autosomes
432_CC_UNK_IRA_F	grey	#000000	C. canorus	21	PC3	0.000828536	0.261100536	0.385911147503185	3	Autosomes
432_CC_UNK_IRA_F	grey	#000000	C. canorus	21	PC4	0.00133184	0.54415784	0.46227820056035	4	Autosomes
432_CC_UNK_IRA_F	grey	#000000	C. canorus	21	PC5	0.00556223	0.65844523	0.741398031556795	5	Autosomes
432_CC_UNK_IRA_F	grey	#000000	C. canorus	21	PC6	0.00241665	0.57128865	0.511986300756031	6	Autosomes
438_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC1	0.0778174	0.2981294	0.962268030256327	1	Autosomes
438_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC2	0.0502876	0.4110056	0.866351046563099	2	Autosomes
438_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC3	-4.23604e-05	0.2602296396	0.384623947429875	3	Autosomes
438_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC4	-0.00130758	0.54151842	0.460035935102734	4	Autosomes
438_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC5	0.00496771	0.65785071	0.740728612237407	5	Autosomes
438_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC6	-0.000796234	0.568075766	0.509106928666425	6	Autosomes
444_CC_UNK_MON_F	grey	#000000	C. canorus	21	PC1	0.0768242	0.2971362	0.959062292722053	1	Autosomes
444_CC_UNK_MON_F	grey	#000000	C. canorus	21	PC2	0.0755365	0.4362545	0.919572732446618	2	Autosomes
444_CC_UNK_MON_F	grey	#000000	C. canorus	21	PC3	0.000138067	0.260410067	0.384890622274905	3	Autosomes
444_CC_UNK_MON_F	grey	#000000	C. canorus	21	PC4	-0.000395	0.542431	0.460811198839203	4	Autosomes
444_CC_UNK_MON_F	grey	#000000	C. canorus	21	PC5	0.0034521	0.6563351	0.739022061381829	5	Autosomes
444_CC_UNK_MON_F	grey	#000000	C. canorus	21	PC6	-0.000475424	0.568396576	0.509394437135472	6	Autosomes
423_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.0789978	0.2993098	0.96607799057193	1	Autosomes
423_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0922651	0.4529831	0.954834636706646	2	Autosomes
423_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	0.000261735	0.260533735	0.385073405736481	3	Autosomes
423_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	0.000331991	0.543157991	0.46142879922387	4	Autosomes
423_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	-0.00142875	0.65145425	0.733526308026118	5	Autosomes
423_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	0.00108183	0.56995383	0.510790041117448	6	Autosomes
419_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.0795076	0.2998196	0.967723464791596	1	Autosomes
419_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0932578	0.4539758	0.956927130541093	2	Autosomes
419_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	0.0022645	0.2625365	0.388033527347757	3	Autosomes
419_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	-0.00140719	0.54141881	0.459951313457738	4	Autosomes
419_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	-0.00453048	0.64835252	0.730033813264753	5	Autosomes
419_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	-0.00391776	0.56495424	0.506309431202658	6	Autosomes
427_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.0790177	0.2993297	0.966142221519304	1	Autosomes
427_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0816549	0.4423729	0.93246959381126	2	Autosomes
427_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	0.000862148	0.261134148	0.385960826625597	3	Autosomes
427_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	-0.00138015	0.54144585	0.45997428473854	4	Autosomes
427_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	-0.0027252	0.6501578	0.732066527570253	5	Autosomes
427_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	-0.0024856	0.5663864	0.507592926508387	6	Autosomes
420_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.078527	0.298839	0.964558396098373	1	Autosomes
420_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0833401	0.4440581	0.93602179549335	2	Autosomes
420_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	-0.000878487	0.259393513	0.383388137727578	3	Autosomes
420_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	-0.000326783	0.542499217	0.46086915120098	4	Autosomes
420_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	-0.00087249	0.65201051	0.734152647241961	5	Autosomes
420_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	0.000992502	0.569864502	0.510709985768416	6	Autosomes
418_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.079404	0.299716	0.967389076542955	1	Autosomes
418_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0887623	0.4494803	0.947451149849286	2	Autosomes
418_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	0.000286948	0.260558948	0.38511067099036	3	Autosomes
418_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	0.00102491	0.54385091	0.462017454435479	4	Autosomes
418_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	0.00114965	0.65403265	0.736429542186636	5	Autosomes
418_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	0.000831376	0.569703376	0.510565585376958	6	Autosomes
422_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.0796017	0.2999137	0.96802719002516	1	Autosomes
422_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0921922	0.4529102	0.954680972154887	2	Autosomes
422_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	0.000226218	0.260498218	0.385020910990833	3	Autosomes
