CHROM	ID	nREF	nALT	nHET	nTs	nTv	avgDP	Singletons	Missing_Sites
chr_10	437_CC_UNK_MAC_F	780561	18578	44126	45619	17085	3.2	3812	1233468
chr_10	442_CC_UNK_RUS_F	870367	20453	49322	51172	18603	3.5	4513	1136591
chr_10	435_CC_UNK_UKR_F	994813	25411	52869	56387	21893	3.8	4027	1003640
chr_10	432_CC_UNK_IRA_F	989761	24045	53620	56535	21130	3.8	4630	1009307
chr_10	438_CC_UNK_RUS_F	1010217	24541	58252	60731	22062	3.9	5262	983723
chr_10	444_CC_UNK_MON_F	990719	23226	57151	58848	21529	3.8	5112	1005637
chr_10	423_CC_GRW_HUN_F	1755672	49711	101436	105954	45193	9.4	5513	169914
chr_10	419_CC_GRW_HUN_F	1815073	52165	106489	111095	47559	10.6	5415	103006
chr_10	427_CC_GRW_HUN_F	1371836	38905	76459	81997	33367	6.8	3539	589533
chr_10	420_CC_GRW_HUN_F	1370926	37837	76567	81028	33376	5.6	2692	591403
chr_10	418_CC_GRW_HUN_F	1471465	41679	81945	87225	36399	5.9	3799	481644
chr_10	422_CC_GRW_HUN_F	1385695	38471	77308	81856	33923	5.3	3174	575259
chr_10	429_CC_GRW_HUN_F	1441158	40392	81842	86703	35531	7.0	3810	513341
chr_10	421_CC_GRW_HUN_F	1365996	37633	75993	80385	33241	5.7	3095	597111
chr_10	424_CC_GRW_HUN_F	1444119	40244	79896	84733	35407	6.0	3455	512474
chr_10	417_CC_GRW_HUN_F	1488513	41957	84060	89014	37003	6.4	3379	462203
chr_10	428_CC_GRW_HUN_F	1591527	44526	88953	93823	39656	6.9	3843	351727
chr_10	430_CC_GRW_HUN_F	1686601	48387	96454	101684	43157	8.4	4180	245291
chr_10	426_CC_GRW_HUN_F	1767670	50607	103230	107762	46075	10.5	5360	155226
chr_10	393_CC_UNK_RUS_F	1318981	38214	63328	71429	30113	4.8	2817	656210
